Biosample,sra-experiment,sra-run,location,depth,date
SAMD00078849,DRX084576,DRR090871,KSt1,1m,15/jan
SAMD00078850,DRX084577,DRR090872,KSt2,1m,15/jan
SAMD00078851,DRX084578,DRR090873,KSt3,1m,15/jan
SAMD00231448,DRX222940,DRR232718,KSt1,8m,15/jan
SAMD00231471,DRX222963,DRR232741,KSt2,10m,15/jan
SAMD00231494,DRX222986,DRR232764,KSt3,10m,15/jan
SAMD00231437,DRX222929,DRR232707,KSt1,1m,15/feb
SAMD00231449,DRX222941,DRR232719,KSt1,8m,15/feb
SAMD00231460,DRX222952,DRR232730,KSt2,1m,15/feb
SAMD00231472,DRX222964,DRR232742,KSt2,10m,15/feb
SAMD00231483,DRX222975,DRR232753,KSt3,1m,15/feb
SAMD00231495,DRX222987,DRR232765,KSt3,10m,15/feb
SAMD00231438,DRX222930,DRR232708,KSt1,1m,15/mrt
SAMD00231450,DRX222942,DRR232720,KSt1,8m,15/mrt
SAMD00231461,DRX222953,DRR232731,KSt2,1m,15/mrt
SAMD00231473,DRX222965,DRR232743,KSt2,10m,15/mrt
SAMD00231484,DRX222976,DRR232754,KSt3,1m,15/mrt
SAMD00231496,DRX222988,DRR232766,KSt3,10m,15/mrt
SAMD00231439,DRX222931,DRR232709,KSt1,1m,15/apr
SAMD00231451,DRX222943,DRR232721,KSt1,8m,15/apr
SAMD00231462,DRX222954,DRR232732,KSt2,1m,15/apr
SAMD00231474,DRX222966,DRR232744,KSt2,10m,15/apr
SAMD00231485,DRX222977,DRR232755,KSt3,1m,15/apr
SAMD00231497,DRX222989,DRR232767,KSt3,10m,15/apr
SAMD00231440,DRX222932,DRR232710,KSt1,1m,15/mei
SAMD00231452,DRX222944,DRR232722,KSt1,8m,15/mei
SAMD00231463,DRX222955,DRR232733,KSt2,1m,15/mei
SAMD00231475,DRX222967,DRR232745,KSt2,10m,15/mei
SAMD00231486,DRX222978,DRR232756,KSt3,1m,15/mei
SAMD00231498,DRX222990,DRR232768,KSt3,10m,15/mei
SAMD00231441,DRX222933,DRR232711,KSt1,1m,15/jun
SAMD00231453,DRX222945,DRR232723,KSt1,8m,15/jun
SAMD00231464,DRX222956,DRR232734,KSt2,1m,15/jun
SAMD00231476,DRX222968,DRR232746,KSt2,10m,15/jun
SAMD00231487,DRX222979,DRR232757,KSt3,1m,15/jun
SAMD00231499,DRX222991,DRR232769,KSt3,10m,15/jun
SAMD00231442,DRX222934,DRR232712,KSt1,1m,15/jul
SAMD00231454,DRX222946,DRR232724,KSt1,8m,15/jul
SAMD00231465,DRX222957,DRR232735,KSt2,1m,15/jul
SAMD00231477,DRX222969,DRR232747,KSt2,10m,15/jul
SAMD00231488,DRX222980,DRR232758,KSt3,1m,15/jul
SAMD00231500,DRX222992,DRR232770,KSt3,10m,15/jul
SAMD00231443,DRX222935,DRR232713,KSt1,1m,15/aug
SAMD00231455,DRX222947,DRR232725,KSt1,8m,15/aug
SAMD00231466,DRX222958,DRR232736,KSt2,1m,15/aug
SAMD00231478,DRX222970,DRR232748,KSt2,10m,15/aug
SAMD00231489,DRX222981,DRR232759,KSt3,1m,15/aug
SAMD00231501,DRX222993,DRR232771,KSt3,10m,15/aug
SAMD00231444,DRX222936,DRR232714,KSt1,1m,15/sep
SAMD00231456,DRX222948,DRR232726,KSt1,8m,15/sep
SAMD00231467,DRX222959,DRR232737,KSt2,1m,15/sep
SAMD00231479,DRX222971,DRR232749,KSt2,10m,15/sep
SAMD00231490,DRX222982,DRR232760,KSt3,1m,15/sep
SAMD00231502,DRX222994,DRR232772,KSt3,10m,15/sep
SAMD00231445,DRX222937,DRR232715,KSt1,1m,15/okt
SAMD00231457,DRX222949,DRR232727,KSt1,8m,15/okt
SAMD00231468,DRX222960,DRR232738,KSt2,1m,15/okt
SAMD00231480,DRX222972,DRR232750,KSt2,10m,15/okt
SAMD00231491,DRX222983,DRR232761,KSt3,1m,15/okt
SAMD00231503,DRX222995,DRR232773,KSt3,10m,15/okt
SAMD00231446,DRX222938,DRR232716,KSt1,1m,15/nov
SAMD00231458,DRX222950,DRR232728,KSt1,8m,15/nov
SAMD00231469,DRX222961,DRR232739,KSt2,1m,15/nov
SAMD00231481,DRX222973,DRR232751,KSt2,10m,15/nov
SAMD00231492,DRX222984,DRR232762,KSt3,1m,15/nov
SAMD00231504,DRX222996,DRR232774,KSt3,10m,15/nov
SAMD00231447,DRX222939,DRR232717,KSt1,1m,15/dec
SAMD00231459,DRX222951,DRR232729,KSt1,8m,15/dec
SAMD00231470,DRX222962,DRR232740,KSt2,1m,15/dec
SAMD00231482,DRX222974,DRR232752,KSt2,10m,15/dec
SAMD00231493,DRX222985,DRR232763,KSt3,1m,15/dec
SAMD00231505,DRX222997,DRR232775,KSt3,10m,15/dec
